ID;category;link;comment;label;dimension;dimension_cm;description
44;furniture;https://www.amazon.com/Christopher-Knight-Home-296933-Sheffield/dp/B01N9F6VOP/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 50 x 20.5 x 18.25 inches;LxWxH 127.00 x 52.07 x 46.36 cm;Christopher Knight Home Juliana Fabric Storage Ottoman, Gray
51;kitchen device;https://www.amazon.com/RCA-RFR786-RED-Apartment-Refrigerator-Freezer/dp/B084LMH43D/ref=cm_cr_arp_d_pdt_img_top?ie=UTF8&-21&ntap_updated=true&th=1;;unknown;LxWxH 23 x 23 x 55 inches;LxWxH 58.42 x 58.42 x 139.70 cm;RCA RFR786-RED 2 Door Apartment Size Refrigerator with Freezer, 7.5 cu. ft, Retro Red
52;kitchen device;https://www.amazon.com/Galanz-Retro-Refrigerator-Freezer-RETRO/dp/B07QYXCB2F/ref=cm_cr_arp_d_pdt_img_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 19.17 x 23.31 x 50.45 inches;LxWxH 48.69 x 59.21 x 128.14 cm;Galanz GLR46TRDER Mini Fridge with Dual Door, Adjustable Mechanical Thermostat with True Freezer, 4.6 Cu.Ft, Red
54;closet systems;https://www.amazon.com/Vlush-Standing-Entryway-Handbags-Umbrella/dp/B07FND78QV/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 20 x 20 x 70 inches;LxWxH 50.80 x 50.80 x 177.80 cm;Vlush Free Standing Coat Rack, 8 Hooks Wooden Coat Hat Tree Coat Hanger Holder Enterway Hall Tree with Solid Rubber Wood Base for Coat, Hat, Clothes, Scarves, Handbags, Umbrella-Coffee
56;furniture;https://www.amazon.com/Milliard-Inflatable-Couch-Air-Sofa/dp/B08FF64XQJ/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 66 x 29 x 37 inches;LxWxH 167.64 x 73.66 x 93.98 cm;Milliard Inflatable Couch/Air Sofa – Perfect Lounger for Camping, Beach and Home (Grey)
57;plant accessories;https://www.amazon.com/Sullivans-Ceramic-Inches-Distressed-CM2496/dp/B00ZAF7G0M/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 5 x 5 x 11.5 inches;LxWxH 12.70 x 12.70 x 29.21 cm;Sullivans Ceramic Vase, 11.5 x 5 Inches, Distressed White (CM2496)
58;furniture;https://www.amazon.com/Linon-29-Inch-Barstool-Round-Seat/dp/B0048V7FGO/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 12 x 12 x 29 inches;LxWxH 30.48 x 30.48 x 73.66 cm;Linon 29-Inch Barstool With Round Seat
59;furniture;https://www.amazon.com/Stone-Beam-Cheyanne-Living-Marshmallow/dp/B072M1W7Z2/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 30.7 x 35.4 x 36.2 inches;LxWxH 77.98 x 89.92 x 91.95 cm;"Amazon Brand – Stone & Beam Cheyanne Living Room Accent Chair, 31""W, Marshmallow"
63;closet systems;https://www.amazon.com/Prepac-BEW-3264-Storage-Cabinet-Wardrobe/dp/B07D34GBV8/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 20 x 32 x 65 inches;LxWxH 50.80 x 81.28 x 165.10 cm;"Prepac Elite Wardrobe Cabinet, 32"", Black"
69;kitchen device;https://www.amazon.com/Galanz-Retro-Refrigerator-Freezer-RETRO/dp/B07QYX9VM3/ref=cm_cr_arp_d_product_top?ie=UTF8&-21&ntap_updated=true;;unknown;LxWxH 21.73 x 24.45 x 58.35 inches;LxWxH 55.19 x 62.10 x 148.21 cm;Galanz GLR76TBEER Retro Top Mount Refrigerator, Dual Door Fridge, Adjustable Mechanical Thermostat with True Freezer, 7.6 Cu.Ft, Blue, Cu Ft
